dataset,record_id,source_file,excel_row,system_id,issue_type,details
Binary,,,,smiles:O=C=O || smiles:[C-]#[O+],component_order_variant,2 source component orders
Binary,binary:001354,binary_vle_english.xlsx,1355,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCC=C(C)C,missing_smiles,component positions [2]
Binary,binary:001355,binary_vle_english.xlsx,1356,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCC=C(C)C,missing_smiles,component positions [2]
Binary,binary:001356,binary_vle_english.xlsx,1357,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCC=C(C)C,missing_smiles,component positions [2]
Binary,binary:001370,binary_vle_english.xlsx,1371,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001371,binary_vle_english.xlsx,1372,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001372,binary_vle_english.xlsx,1373,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001373,binary_vle_english.xlsx,1374,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001374,binary_vle_english.xlsx,1375,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001375,binary_vle_english.xlsx,1376,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001376,binary_vle_english.xlsx,1377,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001377,binary_vle_english.xlsx,1378,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001378,binary_vle_english.xlsx,1379,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001379,binary_vle_english.xlsx,1380,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001380,binary_vle_english.xlsx,1381,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001381,binary_vle_english.xlsx,1382,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001382,binary_vle_english.xlsx,1383,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001383,binary_vle_english.xlsx,1384,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001384,binary_vle_english.xlsx,1385,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001385,binary_vle_english.xlsx,1386,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:001386,binary_vle_english.xlsx,1387,fallback:e1591e1a11bbc209 || smiles:C=CC(C)CCCC(C)(C)O,missing_smiles,component positions [1]
Binary,binary:002089,binary_vle_english.xlsx,2090,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002090,binary_vle_english.xlsx,2091,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002091,binary_vle_english.xlsx,2092,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002092,binary_vle_english.xlsx,2093,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002093,binary_vle_english.xlsx,2094,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002094,binary_vle_english.xlsx,2095,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002095,binary_vle_english.xlsx,2096,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002096,binary_vle_english.xlsx,2097,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002097,binary_vle_english.xlsx,2098,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002098,binary_vle_english.xlsx,2099,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002099,binary_vle_english.xlsx,2100,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002100,binary_vle_english.xlsx,2101,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002101,binary_vle_english.xlsx,2102,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002102,binary_vle_english.xlsx,2103,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002103,binary_vle_english.xlsx,2104,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002104,binary_vle_english.xlsx,2105,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002105,binary_vle_english.xlsx,2106,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002106,binary_vle_english.xlsx,2107,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002107,binary_vle_english.xlsx,2108,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002108,binary_vle_english.xlsx,2109,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002109,binary_vle_english.xlsx,2110,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002110,binary_vle_english.xlsx,2111,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002111,binary_vle_english.xlsx,2112,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002112,binary_vle_english.xlsx,2113,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002113,binary_vle_english.xlsx,2114,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002114,binary_vle_english.xlsx,2115,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002115,binary_vle_english.xlsx,2116,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002116,binary_vle_english.xlsx,2117,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002117,binary_vle_english.xlsx,2118,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002118,binary_vle_english.xlsx,2119,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002119,binary_vle_english.xlsx,2120,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002120,binary_vle_english.xlsx,2121,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002121,binary_vle_english.xlsx,2122,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002122,binary_vle_english.xlsx,2123,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002123,binary_vle_english.xlsx,2124,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002124,binary_vle_english.xlsx,2125,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002125,binary_vle_english.xlsx,2126,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002126,binary_vle_english.xlsx,2127,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002127,binary_vle_english.xlsx,2128,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002128,binary_vle_english.xlsx,2129,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002129,binary_vle_english.xlsx,2130,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002130,binary_vle_english.xlsx,2131,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002131,binary_vle_english.xlsx,2132,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002132,binary_vle_english.xlsx,2133,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002133,binary_vle_english.xlsx,2134,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002134,binary_vle_english.xlsx,2135,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002135,binary_vle_english.xlsx,2136,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002136,binary_vle_english.xlsx,2137,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002137,binary_vle_english.xlsx,2138,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002138,binary_vle_english.xlsx,2139,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002139,binary_vle_english.xlsx,2140,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002140,binary_vle_english.xlsx,2141,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002141,binary_vle_english.xlsx,2142,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002142,binary_vle_english.xlsx,2143,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002143,binary_vle_english.xlsx,2144,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002144,binary_vle_english.xlsx,2145,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002145,binary_vle_english.xlsx,2146,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002146,binary_vle_english.xlsx,2147,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002147,binary_vle_english.xlsx,2148,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002148,binary_vle_english.xlsx,2149,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002149,binary_vle_english.xlsx,2150,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002150,binary_vle_english.xlsx,2151,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002151,binary_vle_english.xlsx,2152,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002152,binary_vle_english.xlsx,2153,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002153,binary_vle_english.xlsx,2154,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002154,binary_vle_english.xlsx,2155,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002155,binary_vle_english.xlsx,2156,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002156,binary_vle_english.xlsx,2157,fallback:ddfbc2db9f602e7d || smiles:CCC,missing_smiles,component positions [2]
Binary,binary:002784,binary_vle_english.xlsx,2785,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002785,binary_vle_english.xlsx,2786,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002786,binary_vle_english.xlsx,2787,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002787,binary_vle_english.xlsx,2788,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002788,binary_vle_english.xlsx,2789,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002789,binary_vle_english.xlsx,2790,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002790,binary_vle_english.xlsx,2791,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002791,binary_vle_english.xlsx,2792,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002792,binary_vle_english.xlsx,2793,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002793,binary_vle_english.xlsx,2794,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002794,binary_vle_english.xlsx,2795,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002795,binary_vle_english.xlsx,2796,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002796,binary_vle_english.xlsx,2797,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002797,binary_vle_english.xlsx,2798,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002798,binary_vle_english.xlsx,2799,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002799,binary_vle_english.xlsx,2800,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002800,binary_vle_english.xlsx,2801,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002801,binary_vle_english.xlsx,2802,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002802,binary_vle_english.xlsx,2803,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002803,binary_vle_english.xlsx,2804,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002804,binary_vle_english.xlsx,2805,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002805,binary_vle_english.xlsx,2806,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002806,binary_vle_english.xlsx,2807,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002807,binary_vle_english.xlsx,2808,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002808,binary_vle_english.xlsx,2809,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002809,binary_vle_english.xlsx,2810,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002810,binary_vle_english.xlsx,2811,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002811,binary_vle_english.xlsx,2812,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002812,binary_vle_english.xlsx,2813,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002813,binary_vle_english.xlsx,2814,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002814,binary_vle_english.xlsx,2815,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002815,binary_vle_english.xlsx,2816,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002816,binary_vle_english.xlsx,2817,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002817,binary_vle_english.xlsx,2818,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002818,binary_vle_english.xlsx,2819,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002819,binary_vle_english.xlsx,2820,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002820,binary_vle_english.xlsx,2821,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002821,binary_vle_english.xlsx,2822,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002822,binary_vle_english.xlsx,2823,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002823,binary_vle_english.xlsx,2824,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002824,binary_vle_english.xlsx,2825,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002825,binary_vle_english.xlsx,2826,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002826,binary_vle_english.xlsx,2827,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:002827,binary_vle_english.xlsx,2828,fallback:5e3bddfb41e40d29 || smiles:FCC(F)(F)F,missing_smiles,component positions [2]
Binary,binary:004071,binary_vle_english.xlsx,4072,fallback:4501d0d6bfddcc6a || smiles:O=C=O,missing_smiles,component positions [2]
Binary,binary:004072,binary_vle_english.xlsx,4073,fallback:4501d0d6bfddcc6a || smiles:O=C=O,missing_smiles,component positions [2]
Binary,binary:004073,binary_vle_english.xlsx,4074,fallback:4501d0d6bfddcc6a || smiles:O=C=O,missing_smiles,component positions [2]
Binary,binary:004074,binary_vle_english.xlsx,4075,fallback:4501d0d6bfddcc6a || smiles:O=C=O,missing_smiles,component positions [2]
Binary,binary:004075,binary_vle_english.xlsx,4076,fallback:4501d0d6bfddcc6a || smiles:O=C=O,missing_smiles,component positions [2]
Binary,binary:004076,binary_vle_english.xlsx,4077,fallback:4501d0d6bfddcc6a || smiles:O=C=O,missing_smiles,component positions [2]
Binary,binary:004077,binary_vle_english.xlsx,4078,fallback:4501d0d6bfddcc6a || smiles:O=C=O,missing_smiles,component positions [2]
Binary,binary:004078,binary_vle_english.xlsx,4079,fallback:4501d0d6bfddcc6a || smiles:O=C=O,missing_smiles,component positions [2]
Binary,binary:004079,binary_vle_english.xlsx,4080,fallback:4501d0d6bfddcc6a || smiles:O=C=O,missing_smiles,component positions [2]
Binary,binary:004080,binary_vle_english.xlsx,4081,fallback:4501d0d6bfddcc6a || smiles:O=C=O,missing_smiles,component positions [2]
Binary,binary:004081,binary_vle_english.xlsx,4082,fallback:4501d0d6bfddcc6a || smiles:O=C=O,missing_smiles,component positions [2]
